Username,Handle,Timestamp,Comments,Likes,Retweets,Text
CNBC,@CNBC,2021-07-01T21:20:11.000Z,"Tesla Model S Plaid caught fire while driver was at the wheel, says fire chief",43,55,117
The Short Shorts Historian,@TeslaHistorian,2021-07-01T12:38:18.000Z,"BREAKING: VW ID.3 quarterly sales grew 140% in Norway!
#ButNorway $TSLA $TSLAQ $VW",12,25,238
Eagle Trades,@eagletrades_,2021-07-01T21:00:39.000Z,$TSLA bull pennant set up on hourly chart. Over 694 this can move quick to 710-716 area.,2,,5
vinny,@vinnyandres_,2021-07-01T21:11:18.000Z,Somebody explain this. $TSLA $NVDA $AMD $NIKE is this a simulation glitch?,,1,2
David Cherem,@DavidCherem5,2021-07-01T14:44:36.000Z,This is a hidden message for $tsla delivery numbers. ,,,2
Adrian Gonzalez,@futureENTRPRNER,2021-07-01T14:22:52.000Z,SCALP CITY!! $TSLA,,,
Naanstop Charts,@NaanstopTrading,2021-07-02T01:06:26.000Z,$TSLA building smaller flag in bigger wedge. Can tomorrow be the day this one finally decides to go? Delivery numbers coming soon,,,1
Freedom Team Trading,@FT__Trading,2021-07-01T20:47:14.000Z,"Positions Update:
New additions $CVAC, $DKNG green.
$RBLX red day trade.
$AMC and $TSLA struggling but still time.
$NOC looking good.",,,1
SmartTrading,@SmartReversals,2021-07-01T14:08:40.000Z,"As mentioned yesterday, $TSLA didn't cross a key resistance level, at this point the oscillators indicate a long entry is risky.

July key resistance levels from the current price: 727.8 and 775.9. Key support monthly levels: 649.5, 601.4, 523.1.

$SPY $QQQ #stocks",1,,2
Panda Options,@PandaOptions,2021-07-01T00:05:42.000Z,"Todays plays 

$SPOT 280c hit +144% (2.50 to 6.10)

$CCIV 28c hit +90% (0.75 to 1.43)

$ROKU Entered some lotto 460c for this week.

$AMD Had some 88c runners from alert earlier this week. Hit +481% (1.10 to 6.40)

$SPY $AMZN $AAPL $BA $NFLX $TSLA $NVDA $FB $SQ $MSFT $BABA $ZM",3,8,90
doralgator,@doralgator,2021-06-30T14:36:46.000Z,"$clov $gme $amc $bb $wish $tsla $sndl $spce $aht YES, $CLOV #ShortSqueeze going King Kong smashing through hedge fund 135.7% fee short walls! ",,1,7
